Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
1,1,1,3,1,37,7,2,1,1,0,0,-1,0,1
2,1,1,2,1,37,7,3,0,0,0,4,-1,11,1
3,2,1,1,1,62,9,3,0,0,0,0,-1,9,1
4,1,1,3,1,30,6,3,5,2,0,0,-1,0,1
5,1,1,1,1,49,8,3,0,0,0,0,-1,3,-1
6,2,1,1,2,30,6,3,0,0,0,0,-1,3,1
7,1,1,1,1,31,6,3,0,0,0,0,-1,3,-1
8,1,1,3,2,13,3,3,6,9,0,0,-1,0,1
9,1,2,3,2,13,3,3,6,9,0,0,-1,0,1
10,1,1,1,1,35,6,3,0,0,0,0,-1,9,1
11,2,2,1,2,48,8,3,0,0,0,0,-1,9,1
12,1,1,2,2,26,6,3,0,0,0,4,-1,11,1
13,1,2,2,2,9,2,3,0,0,0,4,-1,11,1
14,1,3,2,2,40,7,3,0,0,0,4,-1,11,1
15,1,4,2,2,38,7,3,0,0,0,4,-1,11,1
16,1,5,2,2,28,6,3,0,0,0,4,-1,11,-1
17,1,1,3,2,23,5,3,1,4,0,0,-1,0,1
18,2,1,1,2,20,4,3,0,0,0,0,-1,3,-1
19,1,1,3,2,75,10,3,1,1,0,0,-1,0,-1
20,1,1,1,1,34,6,3,0,0,0,0,-1,9,1
21,1,1,1,1,42,7,3,0,0,0,0,-1,5,1
22,1,2,3,2,31,6,3,5,3,0,0,-1,0,-1
23,1,1,3,2,56,9,3,1,1,0,0,-1,0,1
24,1,1,1,1,54,8,2,0,0,0,0,-1,5,1
25,2,1,1,1,26,6,3,0,0,0,0,-1,3,1
26,1,1,1,1,33,6,3,0,0,0,0,-1,5,1
27,1,1,3,1,-1,-1,2,5,1,0,0,-1,0,-1
28,1,1,3,1,49,8,3,5,3,0,0,-1,0,-1
29,2,1,1,2,25,5,3,0,0,0,0,-1,1,1
30,2,1,1,1,59,9,3,0,0,0,0,-1,5,1
31,1,1,1,1,40,7,3,0,0,0,0,-1,3,1
32,1,1,1,1,54,8,3,0,0,0,0,-1,9,1
33,1,1,3,1,68,10,3,1,3,0,0,-1,0,1
34,1,1,1,1,47,8,3,0,0,0,0,-1,1,-1
35,1,1,1,1,29,6,3,0,0,0,0,-1,9,1
36,1,2,2,1,-1,-1,3,0,0,1,0,-1,9,-1
37,2,1,1,1,39,7,3,0,0,0,0,-1,9,1
38,2,1,1,2,33,6,3,0,0,0,0,-1,5,1
39,1,1,1,1,24,5,3,0,0,0,0,-1,3,1
40,2,2,1,1,28,6,2,0,0,0,0,-1,5,1
41,1,1,1,1,31,6,3,0,0,0,0,-1,1,1
42,1,1,1,1,43,7,3,0,0,0,0,-1,4,1
43,1,1,1,2,23,5,3,0,0,0,0,-1,3,1
44,1,2,2,2,24,5,3,0,0,0,0,-1,3,1
45,1,1,2,1,23,5,3,0,0,1,0,-1,9,1
46,1,1,1,1,29,6,3,0,0,0,0,-1,9,1
47,1,2,2,1,26,6,3,0,0,1,0,-1,9,1
48,2,1,1,1,37,7,3,0,0,0,0,-1,1,1
49,1,1,1,1,50,8,3,0,0,0,0,-1,1,1
50,1,1,1,1,45,7,3,0,0,0,0,-1,9,1
51,1,1,1,1,28,6,3,0,0,0,0,-1,3,-1
52,1,1,3,1,26,6,3,4,1,0,0,-1,0,1
53,1,1,1,1,39,7,3,0,0,0,0,-1,5,1
54,1,1,3,1,38,7,3,4,3,0,0,-1,0,1
55,1,1,1,1,42,7,3,0,0,0,0,-1,8,1
56,1,1,1,1,28,6,3,0,0,0,0,-1,5,1
57,1,1,1,2,26,6,3,0,0,0,0,-1,9,1
58,1,1,1,2,65,9,3,0,0,0,0,-1,1,-1
59,1,1,2,2,74,10,3,0,0,0,2,-1,11,1
60,1,1,1,1,19,4,3,0,0,0,0,-1,9,1
61,2,2,1,1,22,5,3,0,0,0,0,-1,9,1
